"報告年度:2021","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸)-用水量(公噸)","資料範圍-資料範圍","用水密集度-密集度(公噸/單位)","用水密集度-單位","取得驗證-取得驗證"
"=""3583""","辛耘","306000.0000","110年1月~110年12月","850.0000","產品",""
"=""3588""","通嘉","3137.8900","營業額單位:新台幣/佰萬元","1.3625","營業額",""
"=""3591""","艾笛森","13200.0000","僅母公司","13.7598","每百萬元營業額",""
"=""3592""","瑞鼎","5045.2800","公司無生產製程，用水主要生活用水，目前公司未有自己的水表，故採用推估方式，推估方式如下:每月用水量=每人每日生活用水量30公升*每月實際工作天數*每月總人數 110年年用水量=每月用水量加總","0.2100","每百萬營業額0.21公頓",""
"=""3593""","力銘","無，無統計相關數據","","無，無統計相關數據","",""
"=""3596""","智易","177567.7000","台灣總部及中國與越南生產中心","0.0046","產品",""
"=""3605""","宏致","23513.0000","東園廠及精工中心兩廠總度數","無，用於一般生活用水，空調設備用水是循環再利用","",""
"=""3607""","谷崧","無，無統計相關數據","","無，無統計相關數據","",""
"=""3617""","碩天","無，無統計相關數據","","無，無統計相關數據","",""
"=""3622""","洋華","4592.0000","母公司","3.1600","TON/百萬元營業額",""
"=""3645""","達邁","無，無統計相關數據","","無，無統計相關數據","",""
"=""3652""","精聯","4626.0000","僅母公司","2.6578","佰萬營業額",""
"=""3653""","健策","813311.0000","母公司","115.5000","營業額(百萬)","ISO 14001"
"=""3661""","世芯-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""3665""","貿聯-KY","534104.0000","統計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。","14.9000","營業額","ISO 14001"
"=""3669""","圓展","16444.0000","母公司","無，無統計相關數據","",""
"=""3673""","TPK-KY","5620456.0000","包含大陸廈門、平潭地區的各子公司。","0.0545","千元營業額","ISO 9001"
"=""3679""","新至陞","4648.0000","母公司110年01月~110年12月","361.5800","營業額",""
"=""3686""","達能","1130.0000","包含合併財務報表之母子公司。","0.0000","營業額",""
"=""3694""","海華","181060.0000","上海子公司廠區","113.1600","員工人數",""
"=""3701""","大眾控","無，無統計相關數據","","無，無統計相關數據","",""
"=""3702""","大聯大","26908.0000","盤查範圍包含台灣區南港總部辦公室、林口倉、香港倉及東莞倉","11.0800","各據點員工合計數","ISO 14001"
"=""3703""","欣陸","223453.0000","母公司及主要營運子公司","8.3200","百萬營業額","ISO 14001"
"=""3704""","合勤控","4596.0000","母公司","3.5600","百萬營業額",""
"=""3705""","永信","無，預計2026年12月完成","","無，預計2026年12月完成","",""
"=""3706""","神達","457000.0000","合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS","11.0000","營業額/單位為「百萬新台幣」",""
"=""3708""","上緯投控","12850.0000","上緯興業股份有限公司及上偉碳纖複合材料股份有限公司","4.1200","百萬營業額","ISO 14001"
"=""3711""","日月光投控","25872192.4300","日月光半導體製造股份有限公司(高雄廠、中壢廠、蘇州廠、 威海廠、無錫廠、日榮半導體(上海)、上海材料廠、 上海月芯半導體、昆山廠、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、深圳廠、墨西哥廠)","1.2590","立方米/千美金營收","ISO 14001"
"=""3712""","永崴投控","243884.0000","母公司及重要子公司","無，為投控公司 無適當衡量單位","",""
"=""3714""","富采","663.0000","僅富采母公司","無，無統計相關數據","",""
"=""3716""","中化控股","","","","",""
"=""4104""","佳醫","19972.0000","僅母公司","0.0046","仟元營業額",""
"=""4106""","雃博","7414.0000","母公司用水量(含民生用水)","0.0063","單位：千元營收",""
"=""4108""","懷特","21249.0000","台北公司及楊梅精製廠","無，無統計相關數據","",""
"=""4119""","旭富","28000.0000","僅母公司","無，因公司火災影響產線生產","",""
"=""4133""","亞諾法","6058.0000","資料含蓋範圍僅母公司。","無，詳年報說明","",""
"=""4137""","麗豐-KY","20274.0000","子公司微碩(上海)日用品有限公司","無，無統計相關數據","",""
"=""4142""","國光生","149308.0000","僅母公司","無，無統計相關數據","",""
"=""4148""","全宇生技-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4155""","訊映","無，無統計相關數據","","無，無統計相關數據","",""
"=""4164""","承業醫","3628.0000","包含合併財務報表之母子公司","1.4900","百萬營業額",""
"=""4190""","佐登-KY","6636.0000","台灣子公司:4,380公噸 廣州子公司:2,256公噸","無，無統計相關數據","",""
"=""4306""","炎洲","789684.0000","台灣總部及廠區","45.9800","百萬營業額",""
"=""4414""","如興","1760.2920","中國常州廠區與柬埔寨長泰、宏興、如興三家水洗廠","無，無統計相關數據","","ISO 14001"
"=""4426""","利勤","369969.0000","110年全年用水量","231.0000","產品",""
"=""4438""","廣越","無，無統計相關數據","","無，無統計相關數據","",""
"=""4439""","冠星-KY","1646572.5680","Top Sports Textile Limited","96.2764","產品","ISO 14001"
"=""4440""","宜新實業","無，產線為物理性加工,沒有工業用水","","無，無統計相關數據","",""
"=""4526""","東台","22.5000","母公司","0.0028","產品",""
"=""4532""","瑞智","5021.9000","母公司","無，無統計相關數據","",""
"=""4536""","拓凱","7.3000","本公司","無，無統計相關數據","",""
"=""4540""","全球傳動","58726.0000","110年度","23.2400","營業額",""
"=""4545""","銘鈺","245658.0000","母公司","215.0000","百萬營業額",""
"=""4551""","智伸科","444667.0000","包含合併財務報表之母子公司","0.0012","產品",""
"=""4552""","力達-KY","無，","","","",""
"=""4555""","氣立","無，無統計相關數據","","無，無統計相關數據","",""
"=""4557""","永新-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4560""","強信-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4562""","穎漢","無，無統計相關數據","","無，無統計相關數據","",""
"=""4564""","元翎","143546.0000","母公司及重要子公司","無，無統計相關數據","",""
"=""4566""","時碩工業","無，無統計相關數據","","無，無統計相關數據","",""
"=""4571""","鈞興-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4572""","駐龍","25691.0000","母公司","63.5900","百萬營業額",""
"=""4576""","大銀微系統","36833.0000","母公司之總部及二廠","11.5700","營業額單位為佰萬元",""
"=""4581""","光隆精密-KY","29398.0000","合併財務報表之母子公司","0.0292","營業額",""
"=""4583""","台灣精銳","78382.0000","母公司","0.0000","營業額","ISO 14001"
"=""4720""","德淵","11632.0000","用水量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。","3.2761","營業額",""
"=""4722""","國精化","104656.0000","母公司","無，無統計相關數據","",""
"=""4736""","泰博","20424.0000","年度總用水量","0.0038","營業額",""
"=""4737""","華廣","26423.0000","母公司","26423.0000","營業額",""
"=""4739""","康普","46700.0000","新竹廠及頭份廠","0.7933","取水量(百萬公升)/個體營收(億元)","ISO 9001"
"=""4746""","台耀","465041.0000","母公司","146.7500","公噸/百萬營業額",""
"=""4755""","三福化","373107.0000","僅母公司(善化廠、柳科廠、高雄廠)","0.0833","營業額；單位：公噸  / 仟元","ISO 14001"
"=""4763""","材料-KY","589140.0000","合併財務報表之母子公司","0.2170","營業額(仟元單位)",""
"=""4764""","雙鍵","11011.0000","母公司","3.5948","百萬營業額",""
"=""4766""","南寶","62951.0000","僅母公司","0.0160","千元營收",""
"=""4770""","上品","49067.0000","僅母公司","19.0595","百萬營業額",""
"=""4807""","日成-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4904""","遠傳","249198.0000","遠傳電信股份有限公司及兩家子公司(新世紀資通股份有限公司、和宇寬頻網路股份有限公司)","0.0000","營業額",""
"=""4906""","正文","46900.0000","正文科技股份有限公司","0.0023","營業額",""
"=""4912""","聯德控股-KY","28920.0000","重要子公司聯德精密材料(中國)股份有限公司","17352.0000","產品",""
"=""4915""","致伸","916321.0000","致伸科技及子公司東莞東聚、致伸重慶、致伸昆山、惠州迪芬尼、東莞迪芬尼及東城迪芬尼","12.7900","營業額","ISO 14001"
"=""4916""","事欣科","無，無統計相關數據","","無，無統計相關數據","",""
"=""4919""","新唐","389290.0000","僅含母公司(不含台南、竹北、北辦)","36.8808","單位：公升/層-晶圓光罩","ISO 14001"
"=""4927""","泰鼎-KY","3560000.0000","包含合併財務報表之母子公司","240.0000","台幣百萬營收",""
"=""4930""","燦星網","無，無統計相關數據","","無，無統計相關數據","",""
"=""4934""","太極","無，無統計相關數據","","無，無統計相關數據","",""
"=""4935""","茂林-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4938""","和碩","5234887.0000","和碩企業總部、臺灣營運中心、上海昌碩、昆山世碩、蘇州名碩/康碩/凱碩、重慶旭碩/凱全、捷克製造中心、墨西哥營運中心、印尼廠","4.1400","每百萬營業額(元)",""
"=""4942""","嘉彰","40228.0000","110年度用水量統計","23.8645","百萬元營業額",""
"=""4943""","康控-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""4952""","凌通","5620.0000","母公司","1.6112","百萬營業額",""
"=""4956""","光鋐","149581.0000","110年1月~12月","無，無統計相關數據","",""
"=""4958""","臻鼎-KY","13882000.0000","大陸園區及台灣園區","82.9000","營業額","ISO 14001"
"=""4960""","誠美材","622344.0000","僅母公司","17.3560","產能(仟米平方)",""
"=""4961""","天鈺","5354.0000","僅含天鈺科技（母公司）新竹總部之據點","0.2969","0.2969立方公尺/百萬營業額","ISO 14001"
"=""4967""","十銓","無，詳年報說明","","無，無統計相關數據","",""
"=""4968""","立積","353.0000","母公司","11.8000","員工人數(千人)",""
"=""4976""","佳凌","無，詳年報說明","","無，無統計相關數據","",""
"=""4977""","眾達-KY","13864.0000","2021年合計","無，無統計相關數據","",""
"=""4989""","榮科","310256.0000","本公司","0.0270","產量(公斤)",""
"=""4994""","傳奇","無，無統計相關數據","","無，無統計相關數據","",""
"=""4999""","鑫禾","40515.0000","僅母公司","無，無統計相關數據","",""
"=""5007""","三星","93.4540","母公司","0.0146","百萬營業額",""
"=""5203""","訊連","6063.0000","台北總公司","6063.0000","總公司辦公區堿空調循環用水及民生用水",""
"=""5215""","科嘉-KY","無，詳年報說明","","無，詳年報說明","",""
"=""5222""","全訊","12978.0000","僅個別公司大順一廠","14.1527","百萬營業額",""
"=""5225""","東科-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""5234""","達興材料","102496.0000","所有生產廠區","22.7100","百萬營業額",""
"=""5243""","乙盛-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""5244""","弘凱","無，無統計相關數據","","無，無統計相關數據","",""
"=""5258""","虹堡","無，無統計相關數據","","無，無統計相關數據","",""
"=""5269""","祥碩","2218.0000","範圍: 110/1/1~12/31, 祥碩總公司辦公室","36.9113","營業額(億元)",""
"=""5283""","禾聯碩","無，尚在評估規畫中","","無，尚在評估規畫中","",""
"=""5284""","jpp-KY","92730.0000","泰國經寶精密工業股份有限公司","61159.0000","製程","ISO 14001"
"=""5285""","界霖","159539.0000","界霖科技楠梓廠區","無，無統計相關數據","",""
"=""5288""","豐祥-KY","231474.0000","主要營運子公司台灣豐祥及越南VPIC1","0.0404","仟元營業額","ISO 14001"
"=""5306""","桂盟","3000.0000","母公司","3.2800","營業額",""
"=""5388""","中磊","48316.6700","本公司(台北辦公室+竹南廠)","32.3100","員工人數(台北+竹南)",""
"=""5434""","崇越","5.2303","台北總部","0.0000","營業額",""
"=""5469""","瀚宇博","370118.0000","110年度","0.1564","產品",""
"=""5471""","松翰","2766.0000","僅母公司","0.0005","營業額(新台幣仟元)",""
"=""5484""","慧友","2568.0000","母公司110年用水量","7.0400","母公司110年用水量為2568公噸,平均每天用水量為7.04公噸",""
"=""5515""","建國","1499.0000","企業總部","3.7500","人",""
"=""5519""","隆大","無，無統計相關數據","","無，無統計相關數據","",""
"=""5521""","工信","23235.0000","僅母公司","78.2300","員工人數",""
"=""5522""","遠雄","3320.0000","僅母公司","21.7000","員工人數",""
"=""5525""","順天","無，無統計相關數據","","無，無統計相關數據","",""
"=""5531""","鄉林","3.2890","母公司","3.2890","員工人數",""
"=""5533""","皇鼎","無，無統計相關數據","","無，無統計相關數據","",""
"=""5534""","長虹","無，無統計相關數據","","無，無統計相關數據","",""
"=""5538""","東明-KY","無，公司為控股公司","","無，公司為控股公司","",""
"=""5546""","永固-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""5607""","遠雄港","無，首次辦理統計資料不全","","無，無統計相關數據","",""
"=""5608""","四維航","17624.5100","母公司總部辦公室和子孫公司船舶","24.3769","總取水量/(海勤船員+辦公室員工人數)",""
"=""5706""","鳳凰","無，無統計相關數據","","無，無統計相關數據","",""
"=""5871""","中租-KY","83354.1300","全企業，資料出處:2021年CSR報告書","1.1600","營業額",""
"=""5876""","上海商銀","53100.0000","僅母公司","2.2506","分母為百萬元營業額","ISO 14001"
"=""5880""","合庫金","288706.0000","合庫金控及各子公司，合計306處據點(不含國外)","5.3100","淨收益佰萬元","ISO 14001"
"=""5906""","台南-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""5907""","大洋-KY","無，無統計相關數據","","1022500.0000","度",""
"=""6005""","群益證","3.8243","母公司","無，無統計相關數據","",""
"=""6024""","群益期","3783.0000","全台營運據點","1.7182","營業額 百萬元",""
"=""6108""","競國","535500.0000","僅母公司","0.2800","產品",""
"=""6112""","邁達特","4819.0000","台北總公司及高雄分公司","4819.0000","營業額","ISO 14001"
"=""6115""","鎰勝","5497.0000","僅母公司","無，無統計相關數據","",""
"=""6116""","彩晶","5055.2200","母公司及子公司(南京瀚宇彩欣科技有限責任公司)","0.1090","母公司的內湖營業所密集度為0.002百萬公升 /樓地板面積(坪)；母公司的南科廠為0.001 百萬公升 /投片面積(m2)；子公司(南京)為0.106 百萬公升 /投片量(片)",""
"=""6117""","迎廣","45172.0000","母公司","19.5400","營業額",""
"=""6120""","達運","108.9000","包含本公司及合併財務報表內子公司","無，無統計相關數據","",""
"=""6128""","上福","17060.0000","上福全球在台灣營運據點為主（包含本廠、二廠及三廠）","0.0010","產品",""
"=""6133""","金橋","無，無統計相關數據","","無，無統計相關數據","",""
"=""6136""","富爾特","0.0888","母公司","無，無統計相關數據","",""
"=""6139""","亞翔","1991.0000","新竹廠區總用水量","無，無統計相關數據","",""
"=""6141""","柏承","無，無統計相關數據","","無，無統計相關數據","",""
"=""6142""","友勁","30578.0000","母公司","12.3336","單位:公噸/百萬營業額",""
"=""6152""","百一","2705.0000","1100101~1101231","無，無統計相關數據","",""
"=""6153""","嘉聯益","663378.0000","僅母公司樹林廠","無，無統計相關數據","",""
"=""6155""","鈞寶","53224.0000","母公司","無，無統計相關數據","",""
"=""6164""","華興","無，無統計相關數據","","無，無統計相關數據","",""
"=""6165""","浪凡","無，無統計相關數據","","無，無統計相關數據","",""
"=""6166""","凌華","13167.0000","母公司","1.0468","人員數量",""
"=""6168""","宏齊","50860.2000","母公司","0.0170","營業額",""
"=""6176""","瑞儀","1837000.0000","台灣與中國大陸製造廠區","0.0002","原物料塑膠粒投料量(公斤)",""
"=""6177""","達麗","無，無統計相關數據","","無，無統計相關數據","",""
"=""6183""","關貿","10.1940","總公司位於南港軟體園區，各進駐戶無獨立之水錶，僅有分攤數值","0.0046","用水(噸)/營業額(百萬)",""
"=""6184""","大豐電","無，無統計相關數據","","無，無統計相關數據","",""
"=""6189""","豐藝","3471.0000","母公司及子公司勁豐","無，無統計相關數據","",""
"=""6191""","精成科","3990356.0000","包含合併財務報表之母子公司","144.4700","百萬營業額",""
"=""6192""","巨路","無，無統計相關數據","","無，無統計相關數據","",""
"=""6196""","帆宣","59170.0000","母公司廠區","59170.0000","產品",""
"=""6197""","佳必琪","無，無統計相關數據","","無，無統計相關數據","",""
"=""6201""","亞弘電","15509.0000","母公司","無，無統計相關數據","",""
"=""6202""","盛群","15674.0000","本公司台灣總部","2.3695","百萬營業額",""
"=""6205""","詮欣","無，本公司主要係生產組裝連接器及連接線，其組裝製程中並不會產生重大污染環境之有害物質與廢水、廢氣","","無，本公司主要係生產組裝連接器及連接線，其組裝製程中並不會產生重大污染環境之有害物質與廢水、廢氣","",""
"=""6206""","飛捷","11099.0000","飛捷母公司","23.0000","人均用水度數",""
"=""6209""","今國光","166476.0000","今國集團","無，無統計相關數據","",""
"=""6213""","聯茂","38503.0000","母公司","無，3680佰萬營業額","","ISO 14001"
"=""6214""","精誠","17426.0000","僅母公司","15.3700","員工人數",""
"=""6215""","和椿","1622.0000","母公司","1.1227","百萬營業額",""
"=""6216""","居易","4466.0000","生活污水","無，無統計相關數據","",""
"=""6224""","聚鼎","24079.0000","母公司","無，無統計相關數據","",""
"=""6225""","天瀚","無，無統計相關數據","","無，無統計相關數據","",""
"=""6226""","光鼎","無，無統計相關數據","","無，無統計相關數據","",""
"=""6230""","尼得科超眾","10233.0000","中興廠、興德廠、陞泰廠 中興廠、興德廠、陞泰廠","0.9300","營業額",""
"=""6235""","華孚","無，無統計相關數據","","無，無統計相關數據","",""
"=""6239""","力成","2617123.0000","僅母公司","51.0500","營業額(百萬)以台灣地區計算","ISO 14001"
"=""6243""","迅杰","690.0000","母公司","0.8364","百萬營業額",""
"=""6257""","矽格","325.9000","所有廠區及子公司","無，無統計相關數據","",""
"=""6269""","台郡","780441.0000","僅母公司","0.8000","產品",""
"=""6271""","同欣電","970669.0000","母公司","96.0800","百萬產值",""
"=""6277""","宏正","19878.4300","範疇一+範疇二","5.9100","營業額",""
"=""6278""","台表科","64874.0000","母公司","0.9900","百萬營業額",""
"=""6281""","全國電","無，無統計相關數據","","無，無統計相關數據","",""
"=""6282""","康舒","906930.0000","2021年康舒科技股份有限公司永續報告書","4140.0240","新臺幣每億元營業收入","ISO 14001"
"=""6283""","淳安","無，無統計相關數據","","無，無統計相關數據","",""
"=""6285""","啟碁","453915.0000","總部、力行廠、南科廠、啟佳、啟新、啟基永昌（昆山）、啟基永昌（南京）、越南廠","6.7500","新臺幣百萬元營收","ISO 14001"
"=""6288""","聯嘉","33684.0000","組織邊界  台灣總公司(聯嘉光電股份有限公司) 地址：350苗栗縣竹南鎮科東一路2號  外倉 地址：350苗栗縣竹南鎮和興路364號","33684.0000","營業額",""
"=""6405""","悅城","173103.0000","110年","126954.0000","製程用水",""
"=""6409""","旭隼","0.1696","1.包含合併財務報表之母子公司 2.旭隼科技在台灣、大陸及越南，均位於工業區辦公大樓，在生產製造時無需耗用水資源（即無工業用水需求），僅須使用員工生活用水、而其來源均為市政供水，其取得及排放均依市政供水規定。","0.2772","員工生活用水","ISO 14001"
"=""6412""","群電","725699.4000","群電台北總公司、群電東莞廠、群電蘇州廠、群電重慶廠、群電泰國廠","0.0179","營業額",""
"=""6414""","樺漢","3272.0000","僅母公司","無，無統計相關數據","",""
"=""6415""","矽力*-KY","12879.0000","母公司包含杭州子公司(重要子公司)","59.8900","營業額",""
"=""6416""","瑞祺電通","5.8000","母公司","3.5859","營業額",""
"=""6426""","統新","29483.0000","母公司","無，無統計相關數據","",""
"=""6431""","光麗-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6438""","迅得","6117.0000","僅母公司","0.0000","營業額",""
"=""6442""","光聖","18942.0000","僅母公司","無，無統計相關數據","",""
"=""6443""","元晶","371000.0000","110年新竹廠用水統計","736.5200","單位：MW",""
"=""6446""","藥華藥","17642.0000","僅台灣製造廠區","無，無統計相關數據","",""
"=""6449""","鈺邦","無，無統計相關數據","","無，無統計相關數據","",""
"=""6451""","訊芯-KY","534279.0000","2021.1~2021.12訊芯電子科技(中山)有限公司及訊芸電子科技(中山)有限公司之廣東省中山市廠區","4.2500","噸/萬元產值，訊芯電子科技(中山)有限公司及訊芸電子科技(中山)有限公司之廣東省中山市廠區",""
"=""6456""","GIS-KY","2028467.0000","所有廠區及子公司，不包含於2021年初期營運之業泓台灣公司","14.6000","百萬營業額",""
"=""6464""","台數科","1.0300","僅母公司","無，無統計相關數據","",""
"=""6472""","保瑞","73652.0000","竹南廠及台南廠","15.0130","營業額",""
"=""6477""","安集","18717.0000","20210101-20211231","0.0190","m3/ 百萬台幣",""
"=""6491""","晶碩","323400.0000","晶碩大溪廠及龜山廠","0.0000","每百萬單位產品用水量436公噸",""
"=""6504""","南六","327866.0000","110/1/1-110/12/31","無，無統計相關數據","",""
"=""6505""","台塑化","2213182971.0000","母公司","3569.0000","百萬營業額","ISO 14001"
"=""6515""","穎崴","無，無統計相關數據","","無，無統計相關數據","",""
"=""6525""","捷敏-KY","190596.0000","包含合併財務報表之子公司","0.0346","產品",""
"=""6531""","愛普*","無，無統計相關數據","","無，無統計相關數據","",""
"=""6533""","晶心科","1942.0000","僅母公司","無，無統計相關數據","",""
"=""6541""","泰福-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6550""","北極星藥業-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6552""","易華電","560329.0000","易華公司","0.0009","產品",""
"=""6558""","興能高","無，無統計相關數據","","無，無統計相關數據","",""
"=""6573""","虹揚-KY","無，尚在蒐集中","","無，尚在蒐集中","",""
"=""6579""","研揚","4635.0000","僅母公司","4635.0000","營業額",""
"=""6581""","鋼聯","58055.0000","僅母公司。","0.3890","服務",""
"=""6582""","申豐","286826.0000","母公司","2.1500","產品",""
"=""6585""","鼎基","77808.0000","母公司","77808.0000","營業額",""
"=""6591""","動力-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6592""","和潤企業","無，詳年報說明","","無，詳年報說明","",""
"=""6598""","ABC-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6605""","帝寶","無，無統計相關數據","","無，無統計相關數據","","ISO 14001"
"=""6625""","必應","無，無統計相關數據","","無，無統計相關數據","",""
"=""6641""","基士德-KY","9031.0000","合併報表之子公司之一-川源(中國)平湖廠區","6.0611","百萬營業額",""
"=""6655""","科定","無，無統計相關數據","","無，無統計相關數據","",""
"=""6666""","羅麗芬-KY","16980.0000","子公司嘉文麗（福建）化妝品有限公司","0.0149","產品",""
"=""6668""","中揚光","35708.0000","110/1/1~110/12/31的用水噸數","5.9200","營業額",""
"=""6669""","緯穎","124233.0000","母公司及及全球有製造廠區的子公司（墨西哥子公司Wiwynn Mexico S.A. de C.V，簡稱WYMX)","26.2927","員工人數(母公司及WYMX)",""
"=""6670""","復盛應用","119783.0000","桃園廠","119783.0000","產品",""
"=""6671""","三能-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6672""","騰輝電子-KY","207160.0000","合併財務報表之子公司生產型廠區","0.0270","千元營業額",""
"=""6674""","鋐寶科技","49850.9000","母公司","無，無統計相關數據","","ISO 14001"
"=""6691""","洋基工程","無，無統計相關數據","","無，無統計相關數據","",""
"=""6698""","旭暉應材","40227.0000","僅母公司","無，無統計相關數據","",""
"=""6706""","惠特","31167.0000","僅母公司","0.0055","營業額",""
"=""6715""","嘉基","20802.6300","母公司及合併財務報表之大陸地區子公司","無，無統計相關數據","",""
"=""6719""","力智","無，無統計相關數據","","無，無統計相關數據","",""
"=""6743""","安普新","無，無統計相關數據","","無，無統計相關數據","",""
"=""6754""","匯僑設計","無，無統計相關數據","","無，無統計相關數據","",""
"=""6756""","威鋒電子","2681.0000","母公司","無，無統計相關數據","",""
"=""6768""","志強-KY","765.0000","僅台灣母公司辦公大樓。","無，本公司用水範圍僅為生活用水。","",""
"=""6770""","力積電","6030552.0000","母公司","67.0200","產品","ISO 14001"
"=""6776""","展碁國際","7467.0000","包含合併財務報表之母子公司","0.3500","百萬營業額",""
"=""6781""","AES-KY","20.7420","嘉普+兆普","57.9400","人均用水量(公升)",""
"=""6789""","采鈺","351715000.0000","采鈺新竹廠","16.3400","公升/ 8吋晶圓當量-層",""
"=""6790""","永豐實","1410410.0000","臺灣紙品工廠：楊梅廠、清水廠","13.6500","產品","ISO 14001"
"=""6792""","詠業","24221.0000","母公司","無，每年5月~10月為夏季用水高峰期。","",""
"=""6796""","晉弘","無，無統計相關數據","","無，無統計相關數據","",""
"=""6799""","來頡","285.0000","母公司","0.2702","營業額單位為佰萬元",""
"=""6806""","森崴能源","3763.0000","僅母公司","35.8400","平均每人使用量",""
"=""6807""","峰源-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""6838""","台新藥","","","","",""
"=""6862""","三集瑞-KY","","","","",""
"=""6919""","康霈*","","","","",""
"=""6923""","中台","","","","",""
"=""6958""","日盛台駿","","","","",""
"=""6962""","ITH-KY","","","","",""
"=""6969""","成信實業*-創","","","","",""
"=""6988""","威力暘-創","","","","",""
"=""7705""","三商餐飲","","","","",""
"=""8011""","台通","無，無統計相關數據","","無，無統計相關數據","",""
"=""8016""","矽創","無，無統計相關數據","","無，無統計相關數據","",""
"=""8021""","尖點","28247.0000","僅母公司","0.0001","產品",""
"=""8028""","昇陽半導體","769184.0000","僅母公司","2.4280","產品",""
"=""8033""","雷虎","3031.2000","110年1月-110年12月","0.0248","營業額以仟元計算",""
"=""8039""","台虹","86206.0000","母公司","2.4019","產品",""
"=""8046""","南電","5480000.0000","母公司","80.7000","噸/百萬營業額",""
"=""8070""","長華*","1789952.0000","包含合併財務報表之母子公司","0.0866","營業額",""
"=""8072""","陞泰","無，無統計相關數據","","無，無統計相關數據","",""
"=""8081""","致新","9186.0000","母公司","1.1600","營業額",""
"=""8101""","華冠","無，無統計相關數據","","無，無統計相關數據","",""
"=""8103""","瀚荃","無，無統計相關數據","","無，無統計相關數據","",""
"=""8104""","錸寶","167753.0000","母公司-錸寶","103.5900","營業額",""
"=""8105""","凌巨","2849321.0000","母公司及子公司KGO","無，無統計相關數據","",""
"=""8110""","華東","1043123.0000","僅母公司，110年1月~110年12月","0.0006","產品",""
"=""8112""","至上","無，(年報p.46)碳排放：110年度118.76kg,較109年度159.96kg,減少25.76%","","無，無統計相關數據","",""
"=""8114""","振樺電","14423.0000","110年1月~12月","546.7400","每億營業額",""
"=""8131""","福懋科","1923909.0000","母公司","0.9901","產品",""
"=""8150""","南茂","1798515.0000","母公司(台灣六個廠區)","65.6400","百萬營業額",""
"=""8163""","達方","526306.0000","台灣廠區+中國廠區","26.3974","百萬營業額",""
"=""8201""","無敵","無，無統計相關數據","","無，無統計相關數據","",""
"=""8210""","勤誠","153360.0000","母公司+子公司工廠","0.0160","營業額",""
"=""8213""","志超","722756.0000","僅母公司","1825.1400","(度/人)",""
"=""8215""","明基材","451700.0000","桃園廠區、雲林廠區及大陸廠區","2.7400","百萬公升/億元營業額",""
"=""8222""","寶一","12233.0000","目前無相關資料","無，無統計相關數據","",""
"=""8249""","菱光","1072.0000","母公司","無，無統計相關數據","",""
"=""8261""","富鼎","2688.4100","僅母公司","21.0000","服務",""
"=""8271""","宇瞻","9180.0000","僅母公司","0.0010","營業額",""
"=""8341""","日友","288030.0000","母公司(雲林廠及彰濱廠)","10.8350","焚化量",""
"=""8367""","建新國際","17962.0000","僅母公司","11.2900","百萬營業額",""
"=""8374""","羅昇","429.0000","新北辦公室","無，無統計相關數據","",""
"=""8404""","百和興業-KY","987125.0000","江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司","無，無統計相關數據","",""
"=""8411""","福貞-KY","800468.0000","集團所屬生產基地","無，無統計相關數據","",""
"=""8422""","可寧衛","42784.0000","可寧衛、吉衛、大寧(股)公司","0.2754","公噸廢棄物處理量",""
"=""8429""","金麗-KY","15534.0000","合併財務報表之母子公司","無，無統計相關數據","",""
