"報告年度:2023","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(每年6/2起公開)(仟元/人)-員工福利平均數(每年6/2起公開)(仟元/人)","員工薪資平均數(每年6/2起公開)(仟元/人)-員工薪資平均數(每年6/2起公開)(仟元/人)","非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)","非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)","管理職女性主管占比-管理職女性主管占比","職業災害-人數","職業災害-比率","職業災害-類別","火災-件數","火災-死傷人數","火災-比率(死傷人數/員工總人數)"
"=""6508""","惠光","777","647","574","471","31.58%","0","0.00%","","0","0","0"
"=""6509""","聚和","1,002","835","829","738","28.99%","1","0.20%","","0","0","0"
"=""6510""","精測","971","814","901","838","17.10%","2","0.00%","職業傷害","0","0","0"
"=""6512""","啟發電","1,021","870","736","593","12.90%","0","0.00%","","0","0","0"
"=""6516""","勤崴國際","1,151","988","912","851","37.00%","0","0.00%","","0","0","0"
"=""6517""","保勝光學","636","521","528","438","42.86%","2","0.82%","","0","0","0"
"=""6523""","達爾膚","1,235","1,070","932","744","50.00%","1","0.90%","","0","0","0"
"=""6527""","明達醫","1,293","1,149","791","684","35.00%","0","0.00%","","0","0","0"
"=""6530""","創威","795","666","558","442","11.00%","0","0.00%","","0","0","0"
"=""6532""","瑞耘","794","660","653","594","40.91%","0","0.00%","","0","0","0"
"=""6535""","順藥","1,756","1,539","1,142","1,062","69.44%","0","0.00%","N/A","0","0","0"
"=""6538""","倉和","973","840","667","519","20.69%","0","0.00%","","0","0","0"
"=""6542""","隆中","962","789","888","654","16.66%","0","0.00%","N/A","0","0","0"
"=""6546""","正基","1,421","1,229","1,148","1,032","21.43%","0","0.00%","","0","0","0"
"=""6547""","高端疫苗","1,280","1,096","880","743","30.77%","0","0.00%","N/A","0","0","0"
"=""6548""","長科*","833","697","637","568","31.00%","6","0.28%","","0","0","0"
"=""6556""","勝品","726","608","671","516","44.00%","0","0.00%","","0","0","0"
"=""6560""","欣普羅","1,332","1,144","1,157","753","13.00%","0","0.00%","","0","0","0"
"=""6561""","是方","2,707","1,946","2,042","1,881","22.58%","0","0.00%","","0","0","0"
"=""6568""","宏觀","1,721","1,516","1,432","1,340","11.36%","0","0.00%","","0","0","0"
"=""6569""","醫揚","1,411","1,263","1,091","1,044","26.92%","4","3.31%","上下班交通事故3人  執行職務內容工傷1人","0","0","0"
"=""6570""","維田","1,148","983","763","694","17.20%","0","0.00%","","0","0","0"
"=""6574""","霈方","1,001","842","878","701","60.00%","0","0.00%","","0","0","0"
"=""6576""","逸達","2,725","2,493","1,439","1,237","20.00%","0","0.00%","","0","0","0"
"=""6577""","勁豐","1,280","1,120","1,003","867","55.93%","0","0.00%","","0","0","0"
"=""6578""","達邦蛋白","868","703","630","582","25.00%","1","2.17%","","0","0","0"
"=""6584""","南俊國際","613","514","481","427","29.63%","5","0.92%","","0","0","0"
"=""6588""","東典","763","607","579","529","40.00%","0","0.00%","","0","0","0"
"=""6589""","台康生技","1,537","1,348","1,009","898","38.60%","0","0.00%","","0","0","0"
"=""6590""","普鴻","1,160","1,010","1,032","914","43.00%","0","0.00%","","0","0","0"
"=""6593""","台灣銘板","914","779","721","635","16.00%","1","2.86%","","0","0","0"
"=""6596""","寬宏藝術","572","486","704","573","71.43%","0","0.00%","無職業災害","0","0","0"
"=""6603""","富強鑫","786","657","640","534","15.00%","1","0.40%","","0","0","0"
"=""6609""","瀧澤科","733","599","637","564","11.80%","3","0.90%","","0","0","0"
"=""6612""","奈米醫材","876","752","651","512","25.00%","0","0.00%","","0","0","0"
"=""6613""","朋億*","1,771","1,570","1,327","1,127","22.73%","0","0.00%","","0","0","0"
"=""6615""","慧智","900","769","673","615","43.48%","0","0.00%","無","0","0","0"
"=""6616""","特昇-KY","N/A","N/A","N/A","N/A","1.90%","0","0.00%","","0","0","0"
"=""6617""","共信-KY","N/A","N/A","N/A","N/A","3.03%","0","0.00%","N/A","0","0","0"
"=""6624""","萬年清","988","818","778","684","36.36%","0","0.00%","","0","0","0"
"=""6629""","泰金-KY","N/A","N/A","N/A","N/A","32.00%","0","0.00%","","0","0","0"
"=""6637""","醫影","N/A","N/A","N/A","N/A","77.78%","0","0.00%","","0","0","0"
"=""6640""","均華","1,215","1,038","1,061","1,016","21.00%","0","0.00%","","0","0","0"
"=""6642""","富致","841","704","596","482","29.63%","0","0.00%","無發生","0","0","0"
"=""6643""","M31","2,702","2,363","2,419","2,022","18.80%","0","0.00%","N/A","0","0","0.00%"
"=""6649""","台生材","1,008","850","651","523","44.44%","0","0.00%","","0","0","0"
"=""6651""","全宇昕","1,476","1,292","1,103","730","17.20%","0","0.00%","","0","0","0"
"=""6654""","天正國際","760","645","603","529","2.00%","0","0.00%","N/A","0","0","0"
"=""6661""","威健生技","1,016","852","764","677","66.67%","0","0.00%","","0","0","0"
"=""6662""","樂斯科","898","754","703","625","31.00%","0","0.00%","","0","0","0"
"=""6664""","群翊","1,337","1,162","946","900","0.03%","0","0.00%","","0","0","0"
"=""6667""","信紘科","1,243","1,040","1,017","878","29.27%","4","1.22%","","0","0","0"
"=""6679""","鈺太","1,831","1,611","1,114","1,002","22.22%","0","0.00%","N/A","0","0","0"
"=""6680""","鑫創電子","1,051","880","797","723","33.33%","0","0.00%","","0","0","0"
"=""6683""","雍智科技","1,000","859","834","649","26.19%","0","0.00%","N/A","0","0","0"
"=""6684""","安格","1,692","1,442","1,304","1,151","40.00%","0","0.00%","","0","0","0"
"=""6690""","安碁資訊","1,251","1,063","1,066","882","19.00%","0","0.00%","不適用","0","0","0"
"=""6692""","進能服","1,091","878","967","791","27.45%","0","0.00%","N/A","0","0","0"
"=""6693""","廣閎科","1,375","1,183","1,012","776","20.83%","0","0.00%","N/A","0","0","0"
"=""6697""","東捷資訊","1,007","840","853","663","7.98%","1","0.53%","","0","0","0"
"=""6703""","軒郁","1,433","1,217","735","604","83.05%","0","0.00%","N/A","0","0","0"
"=""6708""","天擎","1,351","1,162","1,147","1,083","20.00%","0","0.00%","N/A","0","0","0"
"=""6712""","長聖","830","695","639","589","25.00%","2","2.20%","","0","0","0"
"=""6716""","應廣","1,921","1,714","1,414","1,209","13.60%","0","0.00%","分類編號45","0","0","0"
"=""6721""","信實","635","532","557","569","25.00%","62","1.16%","","0","0","0"
"=""6727""","亞泰金屬","937","800","699","576","15.15%","0","0.00%","","0","0","0"
"=""6728""","上洋","1,003","850","797","690","30.00%","0","0.00%","","0","0","0"
"=""6732""","昇佳電子","2,453","2,180","2,204","2,066","14.29%","0","0.00%","無","0","0","0"
"=""6733""","博晟生醫","1,352","1,183","899","772","20.00%","0","0.00%","","0","0","0"
"=""6735""","美達科技","1,290","1,095","963","1,242","28.57%","0","0.00%","","0","0","0"
"=""6741""","91APP*-KY","N/A","N/A","N/A","N/A","44.00%","0","0.00%","","0","0","0"
"=""6747""","亨泰光","1,000","829","724","590","0.56%","0","0.00%","N/A","0","0","0"
"=""6751""","智聯服務","997","859","873","727","36.00%","0","0.00%","","0","0","0"
"=""6752""","叡揚","1,118","985","999","877","54.00%","0","0.00%","本年度無此情事","0","0","0"
"=""6761""","穩得","1,160","998","897","732","38.46%","0","0.00%","","0","0","0"
"=""6762""","達亞","870","747","721","622","29.17%","3","1.80%","","0","0","0"
"=""6763""","綠界科技","1,103","941","881","802","38.10%","0","0.00%","","0","0","0"
"=""6767""","台微醫","964","825","636","547","50.00%","0","0.00%","","0","0","0"
"=""6785""","昱展新藥","2,137","1,955","1,628","1,228","50.00%","0","0.00%","","0","0","0"
"=""6788""","華景電","1,730","1,505","967","888","26.19%","0","0.00%","","0","0","0"
"=""6791""","虎門科技","1,396","1,229","890","782","9.09%","0","0.00%","","0","0","0"
"=""6803""","崑鼎","3,811","3,100","1,017","902","6.45%","2","0.21%","","1","0","0.00%"
"=""6804""","明係","787","648","581","483","37.04%","0","0.00%","","0","0","0"
"=""6811""","宏碁資訊","1,585","1,358","1,400","1,255","50.00%","0","0.00%","不適用","0","0","0"
"=""6821""","聯寶","1,087","909","832","690","11.86%","0","0.00%","","0","0","0"
"=""6823""","濾能","729","561","616","538","18.18%","3","18.63%","","0","0","0"
"=""6829""","千附精密","743","598","615","573","11.48%","13","2.61%","跌倒、衝撞、物體飛落、 被切、割、擦傷","0","0","0"
"=""6840""","東研信超","866","720","638","481","19.00%","1","0.06%","","0","0","0"
"=""6841""","長佳智能","1,267","1,105","836","740","3.50%","0","0.00%","","0","0","0"
"=""6843""","進典","1,008","841","735","605","0.33%","0","0.00%","","0","0","0"
"=""6844""","諾貝兒","705","602","","","25.00%","11","1.50%","","0","0","0"
"=""6846""","綠茵","1,255","1,100","980","733","30.00%","0","0.00%","","0","0","0"
"=""6855""","數泓科","1,002","869","655","550","40.00%","0","0.00%","","0","0","0"
"=""6856""","鑫傳","864","701","653","561","50.00%","0","0.00%","","0","0","0"
"=""6859""","伯特光","682","568","583","524","3.15%","1","0.32%","N/A","0","0","0"
"=""6865""","偉康科技","1,291","1,107","1,037","937","37.50%","0","0.00%","","0","0","0"
"=""6870""","騰雲","1,014","839","658","557","42.86%","0","0.00%","","0","0","0"
"=""6874""","倍力","1,513","1,306","1,194","1,139","25.00%","0","0.00%","","0","0","0"
"=""6875""","國邑*","1,593","1,399","1,098","1,018","50.00%","0","0.00%","N/A","0","0","0"
"=""6877""","鏵友益","975","824","763","686","12.50%","0","0.00%","","0","0","0"
"=""6881""","潤德","1,414","1,225","","","37.50%","0","0.00%","","0","0","0"
"=""6894""","衛司特","1,381","1,272","964","806","40.00%","0","0.00%","","0","0","0"
"=""6895""","宏碩系統","913","771","666","572","31.58%","0","0.00%","","0","0","0"
"=""6899""","創為精密","735","613","","","23.52%","0","0.00%","","0","0","0"
"=""6903""","巨漢","N/A","N/A","N/A","N/A","29.00%","0","0.00%","","0","0","0"
"=""6904""","伯鑫","717","612","593","554","27.27%","0","0.00%","","0","0","0"
"=""6922""","宸曜","1,104","929","944","809","30.00%","3","0.01%","","0","0","0"
"=""6929""","佑全","594","486","624","502","85.95%","18","1.79%","","0","0","0"
"=""6953""","家碩","1,886","1,719","","","24.24%","1","0.81%","","0","0","0"
"=""7402""","邑錡","1,268","1,062","955","766","21.43%","0","0.00%","","0","0","0"
"=""7556""","意德士科技","1,272","1,092","862","717","37.21%","0","0.00%","","0","0","0"
"=""8024""","佑華","1,161","972","968","882","33.33%","0","0.00%","","0","0","0"
"=""8027""","鈦昇","969","818","822","750","13.00%","0","0.00%","","0","0","0"
"=""8032""","光菱","1,480","1,264","1,047","1,023","0.00%","0","0.00%","依照勞基法規定","0","0","0"
"=""8034""","榮群","1,197","1,038","936","785","28.57%","0","0.00%","","0","0","0"
"=""8038""","長園科","853","688","554","499","16.43%","0","0.00%","","0","0","0"
"=""8040""","九暘","1,901","1,658","1,579","1,460","14.29%","0","0.00%","一般職業傷害  ","0","0","0"
"=""8042""","金山電","919","752","705","543","28.85%","0","0.00%","無發生職業災害","1","0","0.00%"
"=""8043""","蜜望實","888","741","661","550","32.00%","0","0.00%","","0","0","0"
"=""8044""","網家","783","635","644","542","51.88%","24","1.40%","","1","0","0.00%"
"=""8047""","星雲","985","823","761","668","25.00%","0","0.00%","","0","0","0"
"=""8048""","德勝","1,560","1,352","913","860","15.00%","0","0.00%","","0","0","0"
"=""8049""","晶采","1,114","941","834","622","57.58%","0","0.00%","","0","0","0"
"=""8050""","廣積","956","821","845","633","3.45%","0","0.00%","未發生職災。","1","0","0.00%"
"=""8054""","安國","1,827","1,614","1,508","1,194","44.44%","0","0.00%","","0","0","0"
"=""8059""","凱碩","1,489","1,308","1,186","1,036","22.92%","2","2.25%","上下班交通事故","0","0","0"
"=""8064""","東捷","1,051","894","896","799","12.00%","0","0.00%","","0","0","0"
"=""8066""","來思達","1,356","1,164","680","745","42.86%","0","0.00%","","0","0","0"
"=""8067""","志旭","750","622","443","379","40.00%","0","0.00%","N/A","0","0","0"
"=""8068""","全達","1,095","926","763","638","0.00%","0","0.00%","","0","0","0"
"=""8069""","元太","1,681","1,467","1,418","1,234","19.30%","7","1.18%","墜落，滾落、夾傷、摔傷、不當動作、碰撞傷害等5類","0","0","0"
"=""8071""","能率網通","918","769","576","545","21.74%","0","0.00%","","0","0","0"
"=""8074""","鉅橡","725","606","558","511","8.11%","2","0.79%","夾捲傷害、割傷","0","0","0"
"=""8076""","伍豐","1,015","875","846","707","27.59%","0","0.00%","無職災發生","0","0","0"
"=""8077""","洛碁","605","493","527","488","30.00%","0","0.00%","","0","0","0"
"=""8080""","印鉐","816","647","554","562","33.33%","0","0.00%","","0","0","0"
"=""8083""","瑞穎","1,012","863","855","781","6.37%","0","0.00%","","0","0","0"
"=""8084""","巨虹","587","1,052","928","794","50.00%","0","0.00%","","0","0","0"
"=""8085""","福華","612","510","482","408","34.00%","3","2.29%","","0","0","0"
"=""8086""","宏捷科","830","704","715","662","5.04%","16","1.87%","","0","0","0"
"=""8087""","華鎂鑫","1,914","1,756","1,126","1,004","0.75%","0","0.00%","","0","0","0"
"=""8088""","品安","668","547","537","425","4.19%","0","0.00%","","0","0","0"
"=""8089""","康全電訊","1,270","1,094","1,038","994","25.00%","0","0.00%","N/A","0","0","0"
"=""8091""","翔名","944","803","717","631","16.67%","1","0.24%","","0","0","0"
"=""8092""","建暐","646","541","543","487","14.29%","2","1.00%","","0","0","0"
"=""8093""","保銳","977","820","685","662","60.00%","0","0.00%","","0","0","0"
"=""8096""","擎亞","1,770","1,434","1,069","1,018","3.31%","0","0.00%","N/A","0","0","0"
"=""8097""","常珵","1,287","1,119","904","720","40.00%","0","0.00%","N/A","0","0","0"
"=""8099""","大世科","973","815","805","666","30.00%","6","0.01%","","0","0","0"
"=""8107""","大億金茂","714","588","618","509","40.00%","0","0.00%","","0","0","0"
"=""8109""","博大","970","823","776","683","48.15%","0","0.00%","","0","0","0"
"=""8111""","立碁","835","701","667","576","33.33%","0","0.00%","","0","0","0"
"=""8121""","越峰","1,175","1,022","868","790","22.22%","0","0.00%","否","0","0","0"
"=""8147""","正淩","941","802","809","715","0.09%","0","0.00%","","0","0","0"
"=""8155""","博智","877","727","653","590","23.08%","9","1.02%","壓傷、摔倒骨折、化學品灼傷","0","0","0"
"=""8171""","天宇","892","649","580","557","31.25%","0","0.00%","","0","0","0"
"=""8176""","智捷","1,062","870","809","794","37.50%","0","0.00%","","0","0","0"
"=""8182""","加高","684","556","576","500","36.59%","0","0.00%","","0","0","0"
"=""8183""","精星","944","818","612","463","21.43%","0","0.00%","N/A","0","0","0"
"=""8227""","巨有科技","1,498","1,287","1,140","1,031","13.00%","0","0.00%","","0","0","0"
"=""8234""","新漢","897","754","732","640","21.29%","0","0.00%","","0","0","0"
"=""8240""","華宏","875","729","706","623","13.25%","8","1.20%","一般職災、交通事故","0","0","0"
"=""8255""","朋程","1,028","881","858","707","0.94%","4","2.69%","N/A","0","0","0"
"=""8277""","商丞","974","832","704","561","21.74%","0","0.00%","N/A","0","0","0"
"=""8279""","生展","749","616","653","587","26.19%","2","0.41%","","0","0","0"
"=""8284""","三竹","1,091","926","905","827","22.22%","0","0.00%","","0","0","0"
"=""8289""","泰藝","764","617","598","523","46.00%","0","0.00%","","0","0","0"
"=""8291""","尚茂","617","507","502","463","37.50%","0","0.00%","","0","0","0"
"=""8299""","群聯","2,418","2,166","2,020","1,784","17.80%","0","0.00%","N/A","0","0","0"
"=""8342""","益張","776","664","579","466","18.75%","1","0.41%","","0","0","0"
"=""8349""","恒耀國際","746","614","661","602","44.10%","3","0.54%","跌倒 x1  物體破裂x2","0","0","0"
"=""8354""","冠好","701","596","528","497","22.73%","0","0.00%","","0","0","0"
"=""8358""","金居","996","770","712","662","10.87%","3","1.01%","其它、滑落、交通事故","0","0","0"
"=""8383""","千附","749","618","615","565","2.97%","10","2.97%","被切、割、擦撞、碰撞","0","0","0"
"=""8390""","金益鼎","1,118","987","869","808","42.86%","2","1.30%","壓傷及物料倒塌","0","0","0"
"=""8401""","白紗科","823","678","661","595","0.07%","14","0.03%","","0","0","0"
"=""8403""","盛弘","1,064","909","828","729","40.00%","2","1.31%","上下班交通事故","0","0","0"
"=""8409""","商之器","942","786","710","632","33.00%","0","0.00%","無","0","0","0"
"=""8410""","森田","870","729","716","703","21.00%","3","0.11%","","0","0","0"
"=""8415""","大國鋼","875","657","646","532","30.00%","0","0.00%","","0","0","0"
"=""8416""","實威","1,095","926","930","826","22.86%","0","0.00%","","0","0","0"
"=""8421""","旭源","822","707","647","542","32.26%","0","0.00%","N/A","0","0","0"
"=""8423""","保綠-KY","N/A","N/A","N/A","N/A","4.76%","2","1.40%","","0","0","0"
"=""8424""","惠普","891","747","764","709","0.01%","1","0.01%","","0","0","0"
"=""8426""","紅木-KY","N/A","N/A","N/A","N/A","32.00%","19","5.40%","N/A","0","0","0"
"=""8431""","匯鑽科","1,203","947","654","666","24.00%","0","0.00%","","0","0","0"
"=""8432""","東生華","1,600","1,370","1,198","1,125","57.14%","0","0.00%","","0","0","0"
"=""8433""","弘帆","1,846","1,690","767","652","87.50%","0","0.00%","","0","0","0"
"=""8435""","鉅邁","1,253","1,082","1,089","1,049","50.00%","0","0.00%","N/A","0","0","0"
"=""8436""","大江","1,225","1,060","817","753","46.10%","1","0.08%","","0","0","0"
"=""8437""","大地-KY","N/A","N/A","N/A","N/A","15.05%","0","0.00%","","0","0","0"
"=""8440""","綠電","889","754","732","619","50.00%","2","1.75%","N/A","0","0","0"
"=""8444""","綠河-KY","N/A","N/A","N/A","N/A","35.00%","0","0.00%","","0","0","0"
"=""8446""","華研","1,256","1,068","778","692","46.15%","0","0.00%","","0","0","0"
"=""8450""","霹靂","731","592","466","403","20.00%","0","0.00%","","0","0","0"
"=""8455""","大拓-KY","N/A","N/A","N/A","N/A","20.00%","0","0.00%","","0","0","0"
"=""8472""","夠麻吉","870","582","724","578","66.67%","2","1.28%","通勤職災","0","0","0"
"=""8477""","創業家","963","805","705","575","50.00%","0","0.00%","無此情事","0","0","0"
"=""8489""","三貝德","768","646","575","470","33.00%","0","0.00%","N/A","0","0","0"
"=""8905""","裕國","723","616","587","538","39.47%","14","5.34%","","0","0","0"
"=""8906""","花王","729","615","535","402","33.33%","0","0.00%","","0","0","0"
"=""8908""","欣雄","1,049","854","722","644","33.00%","0","0.00%","","0","0","0"
"=""8916""","光隆","1,357","1,133","968","746","71.00%","3","6.90%","","0","0","0"
"=""8917""","欣泰","1,223","1,036","1,083","995","13.79%","0","0.00%","","0","0","0"
"=""8921""","沈氏","880","727","682","622","6.00%","0","0.00%","","0","0","0"
"=""8923""","時報","876","722","545","560","65.00%","0","0.00%","","0","0","0"
"=""8924""","大田","1,137","954","844","771","41.67%","0","0.00%","","0","0","0"
"=""8927""","北基","509","419","517","478","13.91%","10","5.12%","","0","0","0"
"=""8928""","鉅明","527","418","446","419","0.01%","4","0.00%","","0","0","0"
"=""8929""","富堡","654","539","510","463","52.00%","0","0.00%","","0","0","0"
"=""8930""","青鋼","1,219","1,043","910","802","10.00%","1","0.84%","","0","0","0"
"=""8931""","大汽電","1,355","1,172","1,062","981","9.52%","0","0.00%","無","0","0","0"
"=""8932""","智通","750","629","484","426","39.00%","0","0.00%","","0","0","0"
"=""8933""","愛地雅","612","467","430","387","43.55%","0","0.00%","","0","0","0"
"=""8935""","邦泰","729","623","534","482","14.12%","0","0.00%","","0","0","0"
"=""8936""","國統","980","840","703","580","28.07%","0","0.00%","N/A","0","0","0"
"=""8937""","合騏","610","506","439","422","18.00%","0","0.00%","","0","0","0"
"=""8938""","明安","733","589","618","542","3.81%","7","0.59%","","1","97","15.32%"
"=""8941""","關中","1,666","1,475","914","872","50.00%","0","0.00%","","0","0","0"
"=""8942""","森鉅","1,072","925","810","716","33.33%","3","1.32%","","0","0","0"
"=""9949""","琉園","705","576","529","490","50.00%","0","0.00%","","0","0","0"
"=""9950""","萬國通","595","516","500","446","37.50%","0","0.00%","","0","0","0"
"=""9951""","皇田","943","784","719","643","20.34%","0","0.00%","","0","0","0"
"=""9960""","邁達康","672","579","534","483","88.89%","0","0.00%","","0","0","0"
"=""9962""","有益","920","764","678","667","27.27%","1","1.00%","金屬製品製造業","0","0","0"
